run_number,section,histogram,depletion_voltage
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Lay1_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Lay2_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Lay3_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Lay4_HV1,47.947499183848834
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Disk1_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_HV1_Lay1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_HV1_Lay2,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_HV1_Lay3,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_HV1_Lay4,47.947499183848834
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_HV1_Disk1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_InnerLadders_Lay1_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_InnerLadders_Lay2_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_InnerLadders_Lay3_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_InnerLadders_Lay4_HV1,101.21090316714636
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_OuterLadders_Lay1_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_OuterLadders_Lay3_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_OuterLadders_Lay4_HV1,108.31963973220378
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Disk1_Ring1_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod1_Lay1_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod1_Lay2_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod1_Lay3_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod1_Lay4_HV1,-1275.8690157653255
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod2_Lay1_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod2_Lay2_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod2_Lay3_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod2_Lay4_HV1,5.648090592604213
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod3_Lay2_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod3_Lay3_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod3_Lay4_HV1,43.14036041075553
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod4_Lay1_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod4_Lay2_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod4_Lay3_HV1,-1
378981,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod4_Lay4_HV1,9.185251139014532
